Word	Frequency
Irwin	12
Jacqui	12
Kemp	12
Kingston	12
Knowles	12
Kurt	12
Lamb	12
Lance	12
Lara	12
Lowe	12
MacDonald	12
Meredith	12
Murdoch	12
Neal	12
O'Donnell	12
Parkinson	12
Patterson	12
Paula	12
Power	12
Richie	12
Stacey	12
Stevenson	12
Townsend	12
Tracy	12
Tyson	12
Vaughan	12
journalist)	12
producer)	12
(dancer)	11
(film	11
(sport	11
(sports	11
(television	11
(umpire)	11
Aidan	11
Ali	11
Ashleigh	11
Baird	11
Basil	11
Beattie	11
Bolton	11
Bowen	11
Caitlin	11
Carol	11
Con	11
Costa	11
Courtney	11
Cullen	11
Damon	11
Delaney	11
Diana	11
Diane	11
Dowling	11
Evan	11
Fahey	11
Field	11
Forrest	11
Garth	11
Georgia	11
Gilmore	11
Hamish	11
Hammond	11
Hardy	11
Harper	11
Hawkins	11
Hocking	11
Hogan	11
Jamieson	11
Joey	11
Joy	11
Kathleen	11
Keane	11
Kirk	11
Leah	11
Leonard	11
Logan	11
Marion	11
Maxwell	11
McGowan	11
McKinnon	11
Milton	11
Osborne	11
Pam	11
Parsons	11
Pearson	11
Rice	11
Rowland	11
Sebastian	11
Shayne	11
Shepherd	11
Simone	11
Thornton	11
Turnbull	11
Williamson	11
Willis	11
Winter	11
Xavier	11
artist)	11
cricketer)	11
director)	11
writer)	11
(filmmaker)	10
(photographer)	10
(wheelchair	10
1988)	10
Al	10
Alicia	10
Bates	10
Bevan	10
Bianca	10
Boyce	10
Brabham	10
Browning	10
Bryant	10
Carey	10
Carmen	10
Carney	10
Cohen	10
Conway	10
Dalton	10
Davey	10
Dianne	10
Ernie	10
Fairfax	10
Farmer	10
Farrell	10
Frances	10
Gabriel	10
Giles	10
Greenwood	10
Iain	10
Isaac	10
Jacqueline	10
Jensen	10
Joyce	10
Lambert	10
Lesley	10
Lim	10
Lord	10
Louis	10
Macdonald	10
Mandy	10
Manning	10
Martyn	10
McLeod	10
Millar	10
Milne	10
Moon	10
Muir	10
Naomi	10
Napaltjarri	10
Nash	10
Natasha	10
O'Keefe	10
Parry	10
Pascoe	10
Paterson	10
Peters	10
Pickering	10
Prior	10
Reed	10
Reilly	10
Ritchie	10
Shirley	10
Silva	10
Slater	10
Spence	10
Stephenson	10
Tanner	10
Valerie	10
Vic	10
Wes	10
coach)	10
rider)	10
(linguist)	9
(police	9
(priest)	9
(professor)	9
(public	9
(speedway	9
(triathlete)	9
Ahmed	9
Aitken	9
Alastair	9
Alistair	9
Anton	9
Barlow	9
Best	9
Biggs	9
Bobby	9
Cahill	9
Callan	9
Callum	9
Chalmers	9
Chloe	9
Christie	9
Coghlan	9
Curran	9
Dallas	9
Desmond	9
Dickson	9
Doolan	9
Dyson	9
Earl	9
Edgar	9
French	9
Garner	9
Genevieve	9
Gillespie	9
Goldsworthy	9
Goss	9
Herbert	9
Hilton	9
Hutton	9
Joan	9
Jonathon	9
Junior	9
Keating	9
Kelvin	9
Kenneth	9
Khan	9
Kimberley	9
Kristian	9
Lorraine	9
Lovell	9
Mackay	9
Madeleine	9
Maguire	9
Mat	9
McDougall	9
McGuire	9
McIntyre	9
McMillan	9
McRae	9
Melinda	9
Miranda	9
Moran	9
Munro	9
Nicola	9
Nikki	9
Nixon	9
Noble	9
Noonan	9
O'Reilly	9
Olsen	9
Owens	9
Penelope	9
Pitt	9
Preston	9
Ramsay	9
Randall	9
Read	9
Reece	9
Sanders	9
Shawn	9
T.	9
Tan	9
Tate	9
Terence	9
Toni	9
Tristan	9
Virginia	9
Welsh	9
Wheeler	9
broadcaster)	9
personality)	9
rugby)	9
scientist)	9
servant)	9
singer)	9
(TV	8
(Victorian	8
(cartoonist)	8
(lawyer)	8
(presenter)	8
(sportsman)	8
Alexandra	8
Amber	8
Anita	8
Antony	8
Archer	8
Baron	8
Barton	8
Booth	8
Bower	8
Bowman	8
Boyle	8
Bradshaw	8
Butcher	8
Byron	8
Cam	8
Carolyn	8
Charlton	8
Cheryl	8
Chong	8
Coates	8
Connell	8
Cory	8
Cowan	8
Croft	8
Crowe	8
Daly	8
Deane	8
Debbie	8
Dion	8
Donnelly	8
Donovan	8
Dunstan	8
Eddy	8
Edwin	8
Elaine	8
English	8
Erin	8
Eva	8
Fleming	8
Flood	8
Frost	8
Fry	8
Gale	8
Gillies	8
Goddard	8
Gorman	8
Hayley	8
Head	8
Hicks	8
Hobbs	8
Hodgson	8
Holly	8
Houston	8
Hutchinson	8
Hyde	8
Ireland	8
Irvine	8
Janine	8
Jeffery	8
Jennings	8
Johns	8
Johnstone	8
Keenan	8
Lawrie	8
Leanne	8
Leonie	8
Libby	8
Lin	8
Love	8
Lynn	8
Maddison	8
Malone	8
Maria	8
Marie	8
Mathews	8
Mervyn	8
Molloy	8
Mooney	8
Morrow	8
Myles	8
Napaljarri	8
O'Dwyer	8
O'Keeffe	8
Paddy	8
Pamela	8
Petersen	8
Poole	8
Pritchard	8
Rae	8
Reeves	8
Robson	8
Rocky	8
Roland	8
Sampson	8
Sara	8
Schofield	8
Seymour	8
Sharpe	8
Sheila	8
Sheridan	8
Simmonds	8
Skinner	8
Smart	8
Stanton	8
Sutherland	8
Suzie	8
Swan	8
Tammy	8
Tara	8
Tupou	8
Vanessa	8
Wall	8
Watkins	8
Waugh	8
Webber	8
Whittaker	8
author)	8
der	8
rugby	8
skater)	8
(chef)	7
(cinematographer)	7
(computer	7
(cricketer,	7
(diver)	7
(doctor)	7
(drummer)	7
(entrepreneur)	7
(football	7
(mayor)	7
(model)	7
(rapper)	7
(referee)	7
(squash	7
(surfer)	7
(wrestler)	7
Ah	7
Alister	7
Alston	7
Angie	7
Annette	7
Ante	7
Ashton	7
Australian	7
Baldwin	7
Banks	7
Barrett	7
Beard	7
Blackburn	7
Bowden	7
Briggs	7
Bright	7
Britt	7
Bruno	7
Cain	7
Carla	7
Cate	7
Champion	7
Chappell	7
Christensen	7
Christina	7
Clay	7
Cleary	7
Clyde	7
Cochrane	7
Cornish	7
Corrigan	7
Crane	7
Daniels	7
Davison	7
Dawn	7
Dobson	7
Dorothy	7
Dunne	7
Dustin	7
Dyer	7
E.	7
Edmonds	7
Ellen	7
Fabian	7
Falzon	7
Finn	7
Flynn	7
Forbes	7
Frawley	7
Fulton	7
Gabrielle	7
Gail	7
Galea	7
Gillett	7
Gilmour	7
Gould	7
Greene	7
Gross	7
Halliday	7
Hancock	7
Hanna	7
Hanson	7
Hartley	7
Hatton	7
Haynes	7
Healy	7
Heffernan	7
Hodge	7
Holdsworth	7
Hood	7
Hopkins	7
Howell	7
Hurst	7
Jai	7
Jayden	7
Jess	7
Jodi	7
Josip	7
June	7
Laurence	7
Leach	7
Lester	7
Lincoln	7
Lionel	7
Lou	7
Lynne	7
Lyon	7
Marilyn	7
Mario	7
Masters	7
McCann	7
McDermott	7
McLachlan	7
McManus	7
Menzies	7
Merv	7
Mia	7
Miriam	7
Monica	7
Mortimer	7
Neale	7
Nguyen	7
Nilsson	7
North	7
O'Connell	7
O'Grady	7
O'Loughlin	7
O'Sullivan	7
Olivia	7
Parkes	7
Pauline	7
Piper	7
Potter	7
Rankin	7
Rees	7
Rene	7
Renee	7
Ric	7
Rich	7
Rickard	7
Roach	7
Roche	7
Savage	7
Schultz	7
Sexton	7
Short	7
Sid	7
Sims	7
Singh	7
Slattery	7
Small	7
Stapleton	7
Stokes	7
Susie	7
Talia	7
Theo	7
Tierney	7
Tucker	7
Tyler	7
Vernon	7
Waddell	7
Walton	7
Waterhouse	7
Weir	7
Welch	7
Winston	7
Wong	7
Zac	7
actress)	7
designer)	7
shooter)	7
(Queensland	6
(activist)	6
(admiral)	6
(basketball,	6
(designer)	6
(economist)	6
(equestrian)	6
(guitarist)	6
(playwright)	6
(scientist)	6
(skier)	6
(street	6
Abbas	6
Ablett	6
Abrahams	6
Adele	6
Adrienne	6
Amos	6
Ash	6
Attard	6
Barnard	6
Bart	6
Beck	6
Birmingham	6
Blackwell	6
Bray	6
Breen	6
Brenda	6
Broderick	6
Bullock	6
Byrnes	6
Carlos	6
Carmel	6
Carole	6
Cassandra	6
Cassidy	6
Cecil	6
Chandler	6
Charlotte	6
Chen	6
Cheng	6
Cindy	6
Clifton	6
Colleen	6
Corcoran	6
Costello	6
Court	6
Coyne	6
Currie	6
Cyril	6
Daniela	6
Daniher	6
Darling	6
Debra	6
Dee	6
Dempsey	6
Dillon	6
Dom	6
